Vehicle_Class,Compact Cars,Compact Cars,Compact Cars,Large Cars,Large Cars,Large Cars,Midsize Cars,Midsize Cars,Midsize Cars,Midsize Station Wagons,Minicompact Cars,Minivan,Minivan,Small Pickup Trucks,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Sport Utility Vehicle,Small Station Wagons,Small Station Wagons,Small Station Wagons,Standard Pickup Trucks,Standard Pickup Trucks,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Standard Sport Utility Vehicle,Subcompact Cars,Subcompact Cars,Subcompact Cars,Two Seaters,Two Seaters,Two Seaters,Van
Drivetrain_Type,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE,ICE,ICE,PHEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,BEV,ICE,PHEV,BEV,ICE,PHEV,BEV,ICE,PHEV,ICE
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany County,2.0,1228.0,12.0,8.0,713.0,1.0,31.0,3559.0,82.0,160.0,32.0,763.0,5.0,234.0,34.0,4760.0,36.0,26.0,810.0,1.0,1.0,2546.0,3.0,1347.0,9.0,2.0,597.0,2.0,0.0,168.0,0.0,123.0
Allegany County,0.0,120.0,1.0,0.0,92.0,0.0,0.0,320.0,3.0,16.0,5.0,165.0,0.0,64.0,0.0,611.0,2.0,0.0,56.0,0.0,0.0,884.0,0.0,163.0,0.0,0.0,72.0,0.0,0.0,20.0,0.0,6.0
Bronx County,0.0,1756.0,4.0,4.0,955.0,1.0,32.0,5508.0,18.0,221.0,37.0,1389.0,2.0,51.0,41.0,6325.0,16.0,8.0,808.0,0.0,0.0,706.0,7.0,2799.0,6.0,1.0,811.0,1.0,0.0,103.0,1.0,75.0
Broome County,1.0,817.0,4.0,5.0,467.0,0.0,4.0,2330.0,40.0,102.0,13.0,528.0,0.0,198.0,13.0,2854.0,19.0,4.0,397.0,1.0,1.0,1963.0,5.0,798.0,2.0,0.0,391.0,0.0,0.0,121.0,0.0,24.0
Cattaraugus County,1.0,160.0,3.0,0.0,134.0,0.0,0.0,519.0,1.0,28.0,5.0,203.0,0.0,118.0,3.0,1205.0,5.0,3.0,78.0,0.0,0.0,1314.0,0.0,368.0,0.0,0.0,125.0,0.0,0.0,24.0,0.0,6.0
Cayuga County,0.0,202.0,4.0,0.0,152.0,0.0,3.0,642.0,3.0,21.0,3.0,154.0,1.0,78.0,0.0,1267.0,3.0,2.0,133.0,0.0,1.0,1229.0,0.0,388.0,2.0,0.0,123.0,0.0,0.0,46.0,0.0,14.0
Chautauqua County,0.0,321.0,1.0,1.0,261.0,0.0,4.0,1042.0,14.0,47.0,18.0,323.0,1.0,144.0,7.0,2094.0,4.0,1.0,220.0,0.0,0.0,1872.0,1.0,571.0,1.0,2.0,225.0,0.0,0.0,90.0,0.0,13.0
Chemung County,0.0,253.0,1.0,0.0,201.0,0.0,7.0,905.0,9.0,47.0,12.0,242.0,0.0,100.0,0.0,1232.0,2.0,1.0,156.0,0.0,0.0,1017.0,0.0,376.0,0.0,0.0,190.0,0.0,0.0,50.0,0.0,9.0
