Vehicle_Class,Bus,Fire Apparatus,Incomplete Vehicle,Incomplete Vehicle,Motor Home,Motorcycle,Motorhome,Off Road Vehicle,PnD Class 4,PnD Class 4,PnD Class 6,School & Shuttle Bus,Step-Van,Tractor Class 8,Tractor Truck,Tractor Truck,Trailer,Transit Bus,Transit Bus,Truck - General,"Vans, Cargo Type","Vans, Cargo Type","Vans, Passenger Type",Vocational Class 8
Drivetrain_Type,ICE,ICE,BEV,ICE,ICE,ICE,ICE,ICE,BEV,ICE,ICE,ICE,ICE,ICE,BEV,ICE,ICE,BEV,ICE,ICE,BEV,ICE,ICE,ICE
County,,,,,,,,,,,,,,,,,,,,,,,,
Albany County,38.0,1.0,0.0,332.0,16.0,505.0,0.0,7.0,0.0,222.0,10.0,66.0,3.0,14.0,0.0,104.0,236.0,0.0,2.0,555.0,0.0,140.0,354.0,4.0
Allegany County,0.0,1.0,0.0,63.0,7.0,130.0,0.0,1.0,0.0,26.0,0.0,22.0,1.0,0.0,0.0,21.0,8.0,0.0,0.0,61.0,0.0,7.0,18.0,0.0
Bronx County,431.0,0.0,0.0,263.0,2.0,514.0,0.0,3.0,1.0,54.0,6.0,2.0,15.0,24.0,1.0,40.0,1.0,0.0,55.0,132.0,0.0,305.0,382.0,0.0
Broome County,4.0,0.0,0.0,144.0,12.0,444.0,0.0,1.0,0.0,58.0,12.0,47.0,1.0,4.0,0.0,57.0,11.0,0.0,0.0,139.0,0.0,79.0,87.0,2.0
Cattaraugus County,1.0,0.0,0.0,78.0,13.0,277.0,0.0,8.0,0.0,46.0,0.0,32.0,2.0,11.0,0.0,29.0,12.0,0.0,0.0,76.0,0.0,23.0,29.0,1.0
Cayuga County,1.0,0.0,0.0,73.0,8.0,258.0,0.0,4.0,0.0,31.0,29.0,17.0,0.0,13.0,0.0,68.0,20.0,0.0,0.0,88.0,0.0,25.0,27.0,0.0
Chautauqua County,1.0,0.0,0.0,139.0,15.0,429.0,0.0,2.0,0.0,78.0,4.0,29.0,2.0,0.0,0.0,37.0,29.0,0.0,0.0,107.0,0.0,36.0,76.0,1.0
Chemung County,0.0,0.0,0.0,65.0,13.0,214.0,1.0,3.0,0.0,27.0,2.0,6.0,3.0,0.0,0.0,14.0,7.0,0.0,0.0,54.0,0.0,25.0,31.0,1.0
Chenango County,1.0,0.0,0.0,56.0,11.0,175.0,0.0,0.0,0.0,39.0,4.0,15.0,0.0,1.0,0.0,20.0,8.0,0.0,0.0,51.0,0.0,10.0,26.0,1.0
Clinton County,0.0,0.0,0.0,78.0,8.0,262.0,0.0,0.0,0.0,59.0,4.0,35.0,2.0,3.0,0.0,27.0,16.0,0.0,0.0,115.0,0.0,30.0,26.0,1.0
Columbia County,0.0,0.0,0.0,87.0,7.0,185.0,0.0,3.0,1.0,55.0,1.0,27.0,0.0,1.0,0.0,24.0,10.0,0.0,0.0,82.0,0.0,23.0,42.0,0.0
Cortland County,0.0,0.0,0.0,44.0,4.0,167.0,0.0,1.0,0.0,36.0,3.0,12.0,1.0,0.0,0.0,15.0,8.0,0.0,0.0,54.0,0.0,13.0,14.0,0.0
Delaware County,0.0,2.0,0.0,76.0,4.0,164.0,0.0,1.0,0.0,22.0,2.0,16.0,0.0,4.0,0.0,13.0,7.0,0.0,0.0,52.0,0.0,16.0,23.0,0.0
Dutchess County,10.0,0.0,0.0,240.0,20.0,707.0,0.0,11.0,2.0,117.0,12.0,77.0,1.0,0.0,0.0,52.0,24.0,0.0,0.0,172.0,0.0,159.0,212.0,6.0
Erie County,19.0,1.0,0.0,650.0,84.0,1797.0,0.0,11.0,0.0,423.0,24.0,159.0,25.0,36.0,0.0,159.0,58.0,0.0,0.0,463.0,0.0,382.0,528.0,3.0
Essex County,0.0,1.0,0.0,53.0,4.0,135.0,0.0,3.0,0.0,46.0,1.0,12.0,3.0,0.0,0.0,4.0,16.0,0.0,0.0,42.0,0.0,19.0,22.0,2.0
Franklin County,0.0,0.0,0.0,38.0,6.0,128.0,0.0,0.0,0.0,33.0,2.0,9.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,34.0,0.0,15.0,15.0,0.0
Fulton County,1.0,0.0,0.0,44.0,6.0,218.0,1.0,0.0,0.0,31.0,2.0,20.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,49.0,0.0,17.0,25.0,1.0
Genesee County,0.0,0.0,0.0,55.0,9.0,238.0,0.0,3.0,0.0,46.0,1.0,18.0,0.0,1.0,0.0,42.0,19.0,0.0,0.0,97.0,0.0,25.0,37.0,0.0
Greene County,0.0,0.0,0.0,82.0,3.0,244.0,0.0,4.0,1.0,49.0,0.0,7.0,2.0,0.0,0.0,15.0,3.0,0.0,0.0,57.0,0.0,30.0,31.0,0.0
